,location,total_sqft,bath,price,bhk
1751,Doddathoguru,1107.0,2.0,44.0,2
1752,Doddathoguru,907.0,2.0,40.0,2
1753,Doddathoguru,1783.0,3.0,85.0,3
1754,Doddathoguru,550.0,1.0,17.0,1
1755,Domlur,1540.0,3.0,90.0,3
1756,Domlur,1875.0,2.0,150.0,3
1757,Domlur,1429.0,3.0,86.0,3
1758,Domlur,640.0,1.0,55.0,1
1759,Domlur,1050.0,2.0,85.0,2
1760,Domlur,1800.0,3.0,150.0,3
1761,Domlur,1720.0,3.0,135.0,3
1762,Domlur,1950.0,3.0,165.0,3
1763,Domlur,2180.0,3.0,285.0,3
1764,Domlur,650.0,1.0,70.0,1
1765,Domlur,780.0,1.0,70.0,1
1766,Domlur,2180.0,3.0,285.0,3
1767,Domlur,1740.0,3.0,120.0,3
1768,Domlur,1695.0,3.0,125.0,3
1769,Domlur,1246.0,2.0,95.0,2
1770,Domlur,2100.0,3.0,145.0,3
1771,Domlur,1276.0,2.0,80.0,2
1772,Domlur,1850.0,3.0,180.0,3
1773,Domlur,1650.0,3.0,180.0,3
1774,Dommasandra,805.0,2.0,22.14,2
1776,Dommasandra,1267.0,3.0,56.0,3
1777,Dommasandra,1200.0,2.0,50.0,2
1778,Dommasandra,2700.0,3.0,68.0,4
1780,Dommasandra,1153.0,2.0,43.5,2
1781,Dommasandra,1500.0,2.0,40.0,2
1782,Dommasandra,1090.0,2.0,43.5,2
1783,Dommasandra,850.0,2.0,25.4,2
1784,Dommasandra,674.0,1.0,19.9,2
1785,Dommasandra,999.0,2.0,32.9,2
1786,EPIP Zone,1499.0,5.0,102.0,3
1787,EPIP Zone,1285.0,2.0,82.0,2
1788,EPIP Zone,2330.0,3.0,162.0,3
1789,EPIP Zone,1330.0,2.0,92.5,2
1790,EPIP Zone,1330.0,2.0,86.98,2
1791,EPIP Zone,1330.0,2.0,93.36,2
1793,EPIP Zone,1500.0,3.0,102.0,3
1794,EPIP Zone,1280.0,2.0,69.0,2
1795,EPIP Zone,1125.0,2.0,65.0,2
1796,EPIP Zone,1734.0,3.0,125.0,3
1798,EPIP Zone,1343.0,2.0,86.0,2
1799,EPIP Zone,2350.0,4.0,163.0,3
1800,EPIP Zone,1860.0,3.0,130.0,3
1801,EPIP Zone,2210.0,3.0,165.0,3
1802,EPIP Zone,2710.0,3.0,177.0,3
1805,Electronic City,1025.0,2.0,47.0,3
1808,Electronic City,1500.0,2.0,64.5,3
1809,Electronic City,1060.0,2.0,60.0,2
1810,Electronic City,1152.0,2.0,64.5,2
1812,Electronic City,770.0,1.0,36.0,2
1813,Electronic City,1070.0,2.0,52.0,2
1814,Electronic City,1025.0,2.0,46.0,2
1815,Electronic City,589.0,1.0,27.0,1
1817,Electronic City,910.0,2.0,40.0,2
1818,Electronic City,1108.0,2.0,63.0,2
1819,Electronic City,1128.0,2.0,65.0,2
1820,Electronic City,1800.0,3.0,95.0,3
1821,Electronic City,630.0,1.0,34.65,1
1822,Electronic City,1128.0,2.0,63.0,2
1823,Electronic City,1599.0,3.0,99.0,3
1826,Electronic City,1070.0,2.0,55.0,2
1827,Electronic City,940.0,2.0,41.0,2
1829,Electronic City,1128.0,2.0,68.75,2
1830,Electronic City,1342.0,2.0,73.3,2
1831,Electronic City,1360.0,2.0,71.0,3
1833,Electronic City,1265.0,2.0,56.93,2
1834,Electronic City,1691.0,2.0,102.0,3
1835,Electronic City,1128.0,2.0,65.49,2
1838,Electronic City,1070.0,2.0,56.1,2
1839,Electronic City,2000.0,4.0,120.0,4
1840,Electronic City,890.0,2.0,45.0,2
1841,Electronic City,1128.0,2.0,65.65,2
1842,Electronic City,865.0,2.0,42.0,2
1844,Electronic City,910.0,2.0,42.0,2
1846,Electronic City,1360.0,2.0,75.0,3
1847,Electronic City,770.0,1.0,40.0,2
1848,Electronic City,1128.0,2.0,64.0,2
1849,Electronic City,1070.0,2.0,54.0,2
1851,Electronic City,1571.0,3.0,89.0,3
1852,Electronic City,1111.0,3.0,50.0,3
1853,Electronic City,870.0,2.0,39.5,2
1855,Electronic City,1374.0,2.0,72.0,3
1857,Electronic City,1128.0,2.0,65.35,2
1858,Electronic City,1128.0,2.0,65.0,2
1859,Electronic City,755.0,1.0,34.0,2
1863,Electronic City,1563.0,3.0,91.84,3
1864,Electronic City,1652.0,3.0,70.0,3
1866,Electronic City,1025.0,2.0,54.5,2
1868,Electronic City,1350.0,3.0,58.0,3
1871,Electronic City,1700.0,3.0,75.0,3
1873,Electronic City,1128.0,2.0,68.0,2
1874,Electronic City,700.0,1.0,35.0,1
1875,Electronic City,1360.0,2.0,70.5,3
1877,Electronic City,1571.0,3.0,105.0,3
1881,Electronic City,1600.0,3.0,104.0,3
1883,Electronic City,1500.0,2.0,100.0,3
1887,Electronic City,1152.0,2.0,65.0,2
1888,Electronic City,1070.0,2.0,60.0,2
1889,Electronic City,1128.0,2.0,65.5,2
1890,Electronic City,1200.0,2.0,59.0,2
1891,Electronic City,1152.0,2.0,65.75,2
1893,Electronic City,1070.0,2.0,55.0,2
1894,Electronic City,1060.0,2.0,58.0,2
1895,Electronic City,1025.0,2.0,54.1,2
1900,Electronic City,1500.0,2.0,78.0,3
1901,Electronic City,1213.0,2.0,59.32,2
1902,Electronic City,1575.0,3.0,90.0,3
1903,Electronic City,435.0,1.0,19.5,1
1904,Electronic City,1449.0,3.0,100.0,3
1906,Electronic City,1125.0,2.0,58.0,2
1908,Electronic City,1575.0,3.0,101.0,3
1910,Electronic City,550.0,1.0,12.0,1
1911,Electronic City,919.0,2.0,40.0,2
1912,Electronic City,1500.0,2.0,78.25,3
1913,Electronic City,1363.0,2.0,79.0,2
1916,Electronic City,1108.0,2.0,67.15,2
1918,Electronic City,1128.0,2.0,65.7,2
1920,Electronic City,1060.0,2.0,51.0,2
1922,Electronic City,1650.0,3.0,100.0,3
1924,Electronic City,1025.0,2.0,49.0,2
1926,Electronic City,1449.0,3.0,90.0,3
1928,Electronic City,1070.0,2.0,58.0,2
1929,Electronic City,1210.0,2.0,54.0,2
1930,Electronic City,1500.0,2.0,75.0,3
1932,Electronic City,1070.0,2.0,52.0,2
1933,Electronic City,2435.0,4.0,119.0,4
1938,Electronic City,1073.0,2.0,60.0,2
1939,Electronic City,1500.0,2.0,78.0,3
1940,Electronic City,1070.0,2.0,47.0,2
1941,Electronic City,1296.0,2.0,65.0,2
1942,Electronic City,1140.0,2.0,70.93,2
1948,Electronic City,2093.0,4.0,104.0,4
1949,Electronic City,1025.0,2.0,53.9,2
1950,Electronic City,940.0,2.0,54.0,2
1951,Electronic City,435.0,1.0,21.0,1
1952,Electronic City,1500.0,2.0,77.5,3
1953,Electronic City,1631.0,3.0,80.0,3
1954,Electronic City,1355.0,2.0,67.0,2
1957,Electronic City,435.0,1.0,22.0,1
1959,Electronic City,1039.0,2.0,50.0,2
1960,Electronic City,770.0,1.0,39.9,2
1962,Electronic City,1128.0,2.0,64.0,2
1963,Electronic City,605.0,1.0,13.31,1
1965,Electronic City,530.0,1.0,13.5,1
1966,Electronic City,1070.0,2.0,53.0,2
1968,Electronic City,1571.0,3.0,83.0,3
1970,Electronic City,1350.0,3.0,66.0,3
1971,Electronic City,1652.0,3.0,110.0,3
1975,Electronic City,1128.0,2.0,65.58,2
1976,Electronic City,635.0,1.0,28.0,1
1977,Electronic City,1128.0,2.0,65.4,2
1980,Electronic City,1355.0,2.0,72.9,2
1984,Electronic City,770.0,1.0,35.0,2
1986,Electronic City,865.0,2.0,40.0,2
1989,Electronic City,1108.0,2.0,63.0,2
1990,Electronic City,630.0,1.0,40.5,1
1993,Electronic City,605.0,1.0,22.0,1
1995,Electronic City,1070.0,2.0,48.0,2
1997,Electronic City,1360.0,2.0,70.0,3
1998,Electronic City,635.0,1.0,28.0,1
1999,Electronic City,1128.0,2.0,65.45,2
2000,Electronic City,890.0,2.0,40.0,2
2005,Electronic City,1360.0,2.0,58.0,3
2008,Electronic City,630.0,1.0,33.7,1
2012,Electronic City,1400.0,3.0,90.0,3
2013,Electronic City,1287.0,3.0,55.0,3
2014,Electronic City,1258.0,2.0,85.5,2
2015,Electronic City,1386.0,2.0,85.0,2
2016,Electronic City,550.0,1.0,27.0,1
2017,Electronic City,1025.0,2.0,50.0,2
2019,Electronic City,1070.0,2.0,55.0,2
2020,Electronic City,1342.0,2.0,72.0,2
2021,Electronic City,1275.0,3.0,70.0,3
2022,Electronic City,770.0,1.0,38.0,2
2027,Electronic City,1644.0,3.0,92.59,3
2028,Electronic City,1250.0,2.0,62.0,2
2031,Electronic City,418.0,1.0,12.0,1
2032,Electronic City,1128.0,2.0,64.8,2
2035,Electronic City,1060.0,2.0,55.0,2
2036,Electronic City,710.0,1.0,40.42,1
2039,Electronic City,1275.0,3.0,63.43,3
2040,Electronic City,1518.0,3.0,75.0,3
2041,Electronic City,1090.0,2.0,31.48,1
2044,Electronic City,1060.0,2.0,55.0,2
2046,Electronic City,1353.0,2.0,75.0,2
2048,Electronic City,1128.0,2.0,67.0,2
2049,Electronic City,1070.0,2.0,57.0,2
2050,Electronic City,1700.0,3.0,90.0,3
2052,Electronic City,750.0,1.0,35.0,1
2053,Electronic City,1210.0,2.0,55.0,2
2054,Electronic City,1070.0,2.0,60.0,2
2059,Electronic City,1615.0,3.0,97.0,3
2061,Electronic City,1221.0,2.0,68.0,2
2063,Electronic City,1500.0,3.0,73.0,3
2064,Electronic City,995.0,2.0,48.0,2
2065,Electronic City,1342.0,2.0,90.0,2
2067,Electronic City,1128.0,2.0,63.5,2
2068,Electronic City,589.0,1.0,29.0,1
2071,Electronic City,1575.0,3.0,94.5,3
2072,Electronic City,1070.0,2.0,48.0,2
2073,Electronic City,1025.0,2.0,54.0,2
2074,Electronic City,1500.0,2.0,70.0,3
2075,Electronic City,1500.0,2.0,64.5,3
2077,Electronic City,2093.0,4.0,134.0,4
2079,Electronic City,1355.0,2.0,73.0,2
2080,Electronic City,1360.0,2.0,64.99,3
2081,Electronic City,1060.0,2.0,52.0,2
2082,Electronic City Phase II,1056.0,2.0,39.07,2
2083,Electronic City Phase II,1020.0,2.0,30.6,2
2084,Electronic City Phase II,1069.0,2.0,45.0,2
2085,Electronic City Phase II,630.0,1.0,28.35,1
2087,Electronic City Phase II,1000.0,2.0,25.0,2
2088,Electronic City Phase II,1090.0,2.0,28.34,2
2089,Electronic City Phase II,2225.0,4.0,98.88,4
2091,Electronic City Phase II,775.0,2.0,38.0,2
2092,Electronic City Phase II,1266.0,2.0,59.0,2
2093,Electronic City Phase II,1000.0,2.0,28.88,2
2096,Electronic City Phase II,972.0,2.0,44.0,2
2098,Electronic City Phase II,1031.0,2.0,55.0,2
2099,Electronic City Phase II,1003.0,2.0,40.6,2
2100,Electronic City Phase II,1031.0,2.0,56.35,2
2102,Electronic City Phase II,1395.0,2.0,62.78,3
2103,Electronic City Phase II,1160.0,2.0,33.5,2
2104,Electronic City Phase II,1065.0,2.0,30.75,2
2105,Electronic City Phase II,1219.0,2.0,61.25,2
2107,Electronic City Phase II,1000.0,2.0,28.88,2
2108,Electronic City Phase II,1790.0,3.0,100.0,3
2109,Electronic City Phase II,769.0,2.0,40.0,2
2111,Electronic City Phase II,900.0,2.0,32.5,2
2114,Electronic City Phase II,993.0,2.0,50.0,3
2115,Electronic City Phase II,1418.0,3.0,52.47,3
2116,Electronic City Phase II,1070.0,2.0,45.0,2
2119,Electronic City Phase II,1140.0,2.0,33.06,2
2120,Electronic City Phase II,1089.0,2.0,32.67,2
2121,Electronic City Phase II,1031.0,2.0,55.0,2
2122,Electronic City Phase II,1253.0,2.0,65.8,2
2124,Electronic City Phase II,1160.0,2.0,33.5,2
2125,Electronic City Phase II,975.0,2.0,45.0,3
2126,Electronic City Phase II,1116.0,2.0,37.0,2
2127,Electronic City Phase II,1125.0,2.0,29.25,2
2128,Electronic City Phase II,1000.0,2.0,28.88,2
2129,Electronic City Phase II,1000.0,2.0,28.88,2
2130,Electronic City Phase II,1000.0,2.0,28.88,2
2131,Electronic City Phase II,1165.0,2.0,30.29,2
2132,Electronic City Phase II,1031.0,2.0,53.0,2
2134,Electronic City Phase II,1065.0,2.0,30.88,2
2136,Electronic City Phase II,1549.0,3.0,80.0,3
2137,Electronic City Phase II,1065.0,2.0,56.13,2
2139,Electronic City Phase II,920.0,2.0,26.0,2
2140,Electronic City Phase II,1140.0,2.0,33.84,2
2141,Electronic City Phase II,1219.0,2.0,61.26,2
2142,Electronic City Phase II,1252.0,2.0,65.0,3
2143,Electronic City Phase II,1125.0,2.0,32.49,2
2145,Electronic City Phase II,1286.0,2.0,69.0,2
2147,Electronic City Phase II,1140.0,2.0,32.92,2
2148,Electronic City Phase II,1116.0,2.0,40.0,2
2149,Electronic City Phase II,1150.0,3.0,46.0,3
2150,Electronic City Phase II,1192.0,2.0,47.0,3
2152,Electronic City Phase II,1020.0,2.0,32.0,2
2153,Electronic City Phase II,1900.0,3.0,97.0,4
2154,Electronic City Phase II,1020.0,2.0,27.43,2
2155,Electronic City Phase II,1025.0,2.0,26.65,2
2156,Electronic City Phase II,1020.0,2.0,29.45,2
2157,Electronic City Phase II,1000.0,2.0,28.88,2
2159,Electronic City Phase II,1140.0,2.0,28.5,2
2160,Electronic City Phase II,1125.0,2.0,32.49,2
2161,Electronic City Phase II,1200.0,2.0,34.65,2
2162,Electronic City Phase II,1160.0,2.0,52.2,2
2163,Electronic City Phase II,1244.0,2.0,55.0,2
2164,Electronic City Phase II,1160.0,2.0,33.51,2
2167,Electronic City Phase II,972.0,2.0,40.0,2
2168,Electronic City Phase II,1160.0,2.0,33.51,2
2170,Electronic City Phase II,1090.0,2.0,31.48,2
2171,Electronic City Phase II,1140.0,2.0,32.92,2
2172,Electronic City Phase II,650.0,1.0,35.0,1
2173,Electronic City Phase II,1155.0,2.0,57.0,2
2174,Electronic City Phase II,1800.0,3.0,92.0,3
2175,Electronic City Phase II,1300.0,2.0,28.0,2
2176,Electronic City Phase II,1160.0,2.0,33.5,2
2177,Electronic City Phase II,1025.0,2.0,29.6,2
2178,Electronic City Phase II,829.0,2.0,22.8,2
2179,Electronic City Phase II,2187.5,4.0,105.0,4
2180,Electronic City Phase II,1252.0,2.0,67.0,2
2182,Electronic City Phase II,1125.0,2.0,32.63,2
2183,Electronic City Phase II,1140.0,2.0,34.0,2
2186,Electronic City Phase II,1252.0,2.0,65.0,3
2187,Electronic City Phase II,1135.0,2.0,46.0,2
2188,Electronic City Phase II,1305.0,3.0,65.0,3
2189,Electronic City Phase II,1165.0,2.0,33.64,2
2191,Electronic City Phase II,1336.0,2.0,50.35,3
2192,Electronic City Phase II,575.0,1.0,16.75,1
2193,Electronic City Phase II,925.0,2.0,49.82,3
2194,Electronic City Phase II,1065.0,2.0,30.76,2
2195,Electronic City Phase II,1065.0,2.0,30.75,2
2196,Electronic City Phase II,1140.0,2.0,33.06,2
2197,Electronic City Phase II,911.0,2.0,26.5,2
2198,Electronic City Phase II,1200.0,2.0,34.65,2
2199,Electronic City Phase II,1031.0,2.0,54.48,2
2203,Electronics City Phase 1,1475.0,3.0,78.29,3
2204,Electronics City Phase 1,1490.0,3.0,78.8,3
2205,Electronics City Phase 1,1113.27,2.0,53.0,2
2206,Electronics City Phase 1,1490.0,3.0,84.0,3
2213,Electronics City Phase 1,1015.0,2.0,56.0,2
2215,Electronics City Phase 1,1515.0,2.0,80.91,3
2216,Electronics City Phase 1,995.0,2.0,46.0,2
2217,Electronics City Phase 1,1555.0,2.0,82.0,3
2218,Electronics City Phase 1,1340.0,2.0,75.0,2
2219,Electronics City Phase 1,1124.0,2.0,55.0,3
2220,Electronics City Phase 1,1175.0,2.0,57.0,2
2221,Electronics City Phase 1,755.0,1.0,42.41,1
2222,Electronics City Phase 1,580.0,1.0,27.0,1
2223,Electronics City Phase 1,940.0,2.0,49.0,2
2224,Electronics City Phase 1,1335.0,2.0,67.0,2
2225,Electronics City Phase 1,1113.12,2.0,55.0,2
2227,Electronics City Phase 1,1350.0,3.0,71.0,3
2229,Electronics City Phase 1,995.0,2.0,49.8,2
2230,Electronics City Phase 1,635.0,1.0,26.0,1
2231,Electronics City Phase 1,1190.0,2.0,68.0,2
2233,Electronics City Phase 1,1450.0,3.0,72.54,3
2234,Electronics City Phase 1,360.0,1.0,16.9,1
2235,Electronics City Phase 1,638.0,1.0,32.0,1
2236,Electronics City Phase 1,1175.0,2.0,64.98,2
2237,Electronics City Phase 1,585.0,1.0,21.0,1
2238,Electronics City Phase 1,1200.0,2.0,59.76,2
2239,Electronics City Phase 1,1145.0,2.0,54.0,2
2240,Electronics City Phase 1,1125.0,2.0,65.0,2
2241,Electronics City Phase 1,1550.0,2.0,82.0,3
2243,Electronics City Phase 1,865.0,2.0,40.0,2
2247,Electronics City Phase 1,1800.0,3.0,93.0,3
2248,Electronics City Phase 1,1314.0,2.0,60.0,2
2249,Electronics City Phase 1,1170.0,2.0,62.0,2
2250,Electronics City Phase 1,1450.0,3.0,79.0,3
2251,Electronics City Phase 1,940.0,2.0,48.0,2
2252,Electronics City Phase 1,940.0,2.0,44.0,2
2253,Electronics City Phase 1,1300.0,2.0,67.0,2
2254,Electronics City Phase 1,1028.0,2.0,51.0,2
2256,Electronics City Phase 1,1205.0,2.0,60.0,2
2258,Electronics City Phase 1,1305.0,2.0,67.0,2
2259,Electronics City Phase 1,755.0,1.0,30.12,1
2260,Electronics City Phase 1,1175.0,2.0,60.0,2
2261,Frazer Town,1700.0,3.0,180.0,3
2262,Frazer Town,1870.0,3.0,185.0,3
2263,Frazer Town,1750.0,3.0,150.0,3
2265,Frazer Town,2000.0,3.0,200.0,3
2266,Frazer Town,3500.0,4.0,330.0,3
2267,Frazer Town,2350.0,4.0,285.0,3
2268,Frazer Town,1550.0,2.0,140.0,2
2269,Frazer Town,1900.0,4.0,145.0,3
2270,Frazer Town,2560.0,3.0,265.0,3
2271,Frazer Town,2400.0,3.0,260.0,3
2273,Frazer Town,1315.0,2.0,140.0,2
2274,Frazer Town,1706.0,3.0,154.0,3
2275,Frazer Town,2079.0,3.0,220.0,3
2276,Frazer Town,3435.0,2.0,341.0,4
2277,Frazer Town,5400.0,3.0,400.0,3
2278,Frazer Town,1180.0,2.0,105.0,2
2279,Frazer Town,2900.0,4.0,325.0,4
2280,Frazer Town,1870.0,3.0,180.0,3
2281,Frazer Town,896.0,1.0,100.0,1
2282,Frazer Town,1420.0,2.0,120.0,2
2283,GM Palaya,1820.0,2.0,86.0,3
2284,GM Palaya,1225.0,2.0,47.0,2
2285,GM Palaya,1140.0,2.0,48.95,2
2286,GM Palaya,1315.0,2.0,65.0,3
2287,GM Palaya,1315.0,3.0,65.0,3
2288,GM Palaya,1315.0,3.0,64.0,3
2289,GM Palaya,1735.0,3.0,70.0,3
2290,GM Palaya,1643.0,2.0,70.0,3
2291,Garudachar Palya,1325.0,2.0,60.8,3
2292,Garudachar Palya,1060.0,2.0,48.7,2
2293,Garudachar Palya,1150.0,2.0,52.75,2
2294,Garudachar Palya,1295.0,2.0,59.5,3
2295,Garudachar Palya,1320.0,2.0,60.6,3
2296,Garudachar Palya,1295.0,2.0,59.5,3
2297,Garudachar Palya,1150.0,2.0,52.8,2
2298,Garudachar Palya,1150.0,2.0,52.8,2
2299,Garudachar Palya,1060.0,2.0,48.5,2
2300,Garudachar Palya,1150.0,2.0,52.5,2
2301,Garudachar Palya,1325.0,2.0,60.8,3
2302,Garudachar Palya,1060.0,2.0,48.66,2
2303,Garudachar Palya,1150.0,2.0,52.0,2
2304,Garudachar Palya,1154.0,2.0,51.8,2
2306,Giri Nagar,2400.0,4.0,400.0,4
2307,Giri Nagar,1800.0,3.0,252.0,3
2308,Giri Nagar,1350.0,3.0,240.0,3
2309,Giri Nagar,2400.0,4.0,400.0,4
2310,Giri Nagar,3000.0,4.0,375.0,6
2311,Giri Nagar,2400.0,6.0,400.0,6
2312,Giri Nagar,4000.0,3.0,750.0,4
2313,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2314,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2315,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2316,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2317,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2318,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2319,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2320,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2321,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2322,Gottigere,1100.0,2.0,40.0,2
2323,Gottigere,967.0,2.0,45.0,2
2324,Gottigere,1618.0,3.0,82.5,3
2325,Gottigere,1222.0,2.0,63.0,2
2327,Gottigere,1300.0,3.0,65.0,3
2328,Gottigere,950.0,2.0,38.0,2
2329,Gottigere,1153.0,2.0,48.5,2
2330,Gottigere,812.0,1.0,26.0,1
2332,Gottigere,1460.0,2.0,65.0,3
2333,Gottigere,1500.0,3.0,70.0,3
2334,Gottigere,1621.0,3.0,72.0,3
2335,Gottigere,812.0,1.0,26.0,1
2336,Gottigere,990.0,2.0,40.0,2
2337,Gottigere,1235.0,2.0,63.0,2
2338,Gottigere,1385.0,3.0,64.0,3
2339,Gottigere,1000.0,2.0,35.0,2
2340,Gottigere,1010.0,2.0,35.0,2
2343,Gottigere,1435.0,2.0,62.0,3
2344,Gottigere,945.0,2.0,45.0,2
2346,Gottigere,2500.0,3.0,120.0,4
2347,Gottigere,1230.0,2.0,52.0,3
2348,Gottigere,1120.0,2.0,50.0,2
2349,Gottigere,1500.0,3.0,63.0,3
2350,Gottigere,1200.0,2.0,40.0,2
2351,Gottigere,1280.0,2.0,61.0,2
2352,Gottigere,1205.0,2.0,56.58,2
2353,Gottigere,1170.0,2.0,40.0,2
2354,Gottigere,3000.0,3.0,132.0,4
2355,Gottigere,1613.0,3.0,72.0,3
2356,Gottigere,1110.0,2.0,36.25,2
2357,Gottigere,1245.0,2.0,59.0,2
2358,Gottigere,1200.0,2.0,50.0,2
2359,Green Glen Layout,1670.0,3.0,120.0,3
2360,Green Glen Layout,3250.0,4.0,230.0,4
2361,Green Glen Layout,1776.42,3.0,105.0,3
2362,Green Glen Layout,940.0,2.0,56.8,2
2363,Green Glen Layout,1075.0,2.0,60.0,2
2364,Green Glen Layout,1715.0,3.0,115.0,3
2365,Green Glen Layout,1751.0,2.0,115.0,3
2366,Green Glen Layout,1530.0,3.0,105.0,3
2367,Green Glen Layout,1752.0,3.0,105.0,3
2368,Green Glen Layout,1680.0,4.0,95.0,3
2369,Green Glen Layout,1728.0,3.0,125.0,3
2370,Green Glen Layout,1645.0,3.0,110.0,3
2371,Green Glen Layout,1517.0,3.0,100.0,3
2372,Green Glen Layout,3150.0,4.0,218.0,4
2374,Green Glen Layout,1750.0,3.0,120.0,3
2375,Green Glen Layout,1751.0,3.0,115.0,3
2376,Green Glen Layout,1750.0,3.0,105.0,3
2377,Green Glen Layout,1885.0,3.0,135.0,3
2378,Green Glen Layout,1715.0,3.0,120.0,3
2379,Green Glen Layout,1623.29,2.0,105.0,3
2380,Green Glen Layout,1715.0,3.0,115.0,3
2381,Green Glen Layout,1715.0,3.0,105.0,3
2382,Green Glen Layout,1600.0,3.0,105.0,3
2383,Green Glen Layout,1717.0,3.0,125.0,3
2384,Green Glen Layout,1250.0,2.0,75.0,2
2385,Green Glen Layout,1715.0,3.0,112.0,3
2386,Gubbalala,1470.0,2.0,82.0,3
2387,Gubbalala,1745.0,3.0,104.0,3
2388,Gubbalala,1745.0,3.0,115.0,3
2389,Gubbalala,1745.0,3.0,110.0,3
2390,Gubbalala,1650.0,3.0,71.0,3
2391,Gubbalala,1205.0,2.0,70.0,2
2392,Gubbalala,1435.0,2.0,80.0,3
2393,Gubbalala,1475.0,2.0,80.0,2
2395,Gubbalala,1100.0,2.0,49.5,2
2396,Gubbalala,1060.0,2.0,46.0,2
2397,Gubbalala,2000.0,3.0,125.0,3
2399,Gunjur,1140.0,2.0,43.0,2
2400,Gunjur,1600.0,3.0,75.0,3
2401,Gunjur,2000.0,3.0,95.0,4
2402,Gunjur,1140.0,2.0,49.11,2
2403,Gunjur,1195.0,2.0,44.0,2
2404,Gunjur,1457.0,2.0,60.0,2
2405,Gunjur,1080.0,2.0,41.0,2
2408,Gunjur,1175.0,2.0,43.48,2
2409,Gunjur,1362.0,3.0,62.63,3
2410,Gunjur,1071.0,2.0,51.0,2
2411,Gunjur,1063.0,2.0,40.0,2
2412,Gunjur,1235.0,2.0,52.76,2
2413,Gunjur,1362.0,3.0,62.63,3
2414,Gunjur,1362.0,3.0,62.63,3
2415,Gunjur,1457.0,2.0,60.0,2
2416,HBR Layout,2800.0,2.0,200.0,3
2417,HBR Layout,1200.0,4.0,120.0,4
2418,HBR Layout,1200.0,2.0,60.0,2
2419,HBR Layout,1004.0,2.0,49.0,2
2420,HBR Layout,1783.0,3.0,125.0,3
2421,HBR Layout,1656.0,3.0,90.0,3
2422,HBR Layout,1089.0,2.0,60.0,2
2423,HBR Layout,1700.0,3.0,110.0,3
2424,HBR Layout,1198.0,2.0,65.0,2
2425,HBR Layout,1200.0,4.0,115.0,4
2426,HBR Layout,1200.0,2.0,120.0,2
2427,HBR Layout,1832.0,3.0,160.0,3
2428,HRBR Layout,1374.0,2.0,95.0,2
2429,HRBR Layout,1440.0,2.0,98.0,2
2431,HRBR Layout,2800.0,3.0,250.0,3
2432,HRBR Layout,1210.0,2.0,75.0,2
2433,HRBR Layout,1265.0,2.0,78.0,2
2434,HRBR Layout,1170.0,2.0,75.0,2
2436,HRBR Layout,1900.0,3.0,90.0,4
2437,HRBR Layout,1625.0,3.0,120.0,3
2438,HRBR Layout,1301.0,2.0,120.0,2
2439,HRBR Layout,1145.0,2.0,68.5,2
2440,HRBR Layout,1300.0,2.0,90.0,2
2442,HSR Layout,1372.0,2.0,68.0,2
2444,HSR Layout,1475.0,3.0,75.0,3
2445,HSR Layout,1467.0,2.0,55.0,2
2446,HSR Layout,1140.0,2.0,46.0,2
2447,HSR Layout,1372.0,2.0,61.0,2
2448,HSR Layout,1750.0,3.0,95.0,3
2450,HSR Layout,1027.0,2.0,44.0,2
2451,HSR Layout,1650.0,3.0,110.0,3
2452,HSR Layout,1140.0,2.0,46.0,2
2453,HSR Layout,1372.0,2.0,61.0,2
2454,HSR Layout,1140.0,2.0,46.0,2
2455,HSR Layout,1185.0,2.0,60.0,2
2456,HSR Layout,1127.0,2.0,68.0,2
2457,HSR Layout,1600.0,2.0,115.0,3
2458,HSR Layout,1145.0,2.0,48.0,2
2459,HSR Layout,1009.0,2.0,56.0,2
2460,HSR Layout,1300.0,2.0,98.0,2
2462,HSR Layout,1140.0,2.0,46.0,2
2463,HSR Layout,1126.0,2.0,69.0,2
2465,HSR Layout,1140.0,2.0,46.0,2
2466,HSR Layout,1145.0,2.0,46.0,2
2467,HSR Layout,1142.0,2.0,65.0,2
2468,HSR Layout,1145.0,2.0,46.0,2
2469,HSR Layout,1844.0,3.0,95.0,3
2470,HSR Layout,1203.0,2.0,72.0,2
2471,HSR Layout,1140.0,2.0,46.0,2
2472,HSR Layout,1140.0,2.0,46.0,2
2473,HSR Layout,1145.0,2.0,46.0,2
2474,HSR Layout,1009.0,2.0,56.0,2
2475,HSR Layout,1145.0,2.0,46.0,2
2476,HSR Layout,1100.0,2.0,44.0,2
2477,HSR Layout,1203.0,2.0,60.0,2
2478,HSR Layout,1120.0,2.0,70.0,2
2479,HSR Layout,1140.0,2.0,46.0,2
2480,HSR Layout,1844.0,3.0,89.0,3
2481,HSR Layout,1203.0,2.0,60.0,2
2482,HSR Layout,1140.0,2.0,46.0,2
2483,Haralur Road,1240.0,2.0,70.0,2
2484,Haralur Road,1027.0,2.0,44.0,2
